recordtime,A3outsiders_windiv,jockeychallenge_combo_div,winoddsrank,dbltrio3_combo_div,railtype_s,racesurface_s,owner,dbl2_combo_div,raceclass,newclass_s,dbltrio2_combo_div,jockey_id,trio_combo_div,horse_id,horsenumber,racecoursecode,race_id,theresults,dbl5_combo_div,racepace,dbl4_combo_div,win_combo_div,tce_combo_div,racegoing_s,market_prob,recordtimeperlength,dbl9_combo_div,favpos,dbl3_combo_div,horsereport,A1topfavs_windiv,trainercode,dbl8_combo_div,dbltrio1_combo_div,winodds,race_total_prob,qn_combo_div,finishtime,horsecode,winningtrainercode,runnerslist,metaspeedrank,place_combo_div,runningpositions,racedate,racesurface,jockeycode,marginsbehindleader,racegoing,dbl10_combo_div,winoddsranks,winningjockeycode,sec_timelist,racenumber,dbl6_combo_div,qtt_combo_div,dbl1_combo_div,sixup_combo_div,tripletrio_combo_div,norunners,dbl7_combo_div,qnp_combo_div,tripletriocons_combo_div,racetrainers,f4_combo_div,A2midpricers_windiv,racerating_s,raceday_id,racedistance,stdtime,favodds,place,winningsecs,horsespeedrating
55.7,,,8,,,,,,Class 4,,,,"4,5,7,2,026.00",,1,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,,,,,,15.0,0.0,"4,5,1,660.50",56.88,T099,LAL,,,"4,40.00","8,5,1",20160117,TURF ,YML,"[2.5, 2.0, 0.3, None, None, None]",GY,,,YML,"[13.52, 20.62, 22.74, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,1,"[13.12, 20.7, 23.06]",979.0
55.7,,,9,,,,,,Class 4,,,,"4,5,7,2,026.00",,2,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"FISH N�� CHIPS shifted out at the start and bumped FLYING MONKEYTOP BONUS, FISH N�� CHIPS and FLYING MONKEY were sent for sampling",,,,,28.0,0.0,"4,5,1,660.50",56.93,T361,LAL,,,"4,40.00","4,3,2",20160117,TURF ,PB,"[1.25, 1.25, 0.3, None, None, None]",GY,,,YML,"[13.32, 20.7, 22.91, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,2,"[13.12, 20.7, 23.06]",978.0
55.7,,,5,,,,,,Class 4,,,,"4,5,7,2,026.00",,3,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"16 by order of the Stewards acting on veterinary advice (thickened left front tendon) and was replaced by Standby Declared Starter GALLANT ROCKApproaching the 800 Metres, GLORY HORSIE was momentarily awkwardly placed outside GALLANT ROCK which shifted outNear the 550 Metres, GALLANT ROCK and TOP BONUS raced tight",,,,,4.3,0.0,"4,5,1,660.50",56.98,S240,LAL,,,"4,40.00","2,1,3",20160117,TURF ,MR,"[0.75, 0.1, 0.5, None, None, None]",GY,,,YML,"[13.24, 20.58, 23.16, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,3,"[13.12, 20.7, 23.06]",978.0
55.7,,,6,,,,,,Class 4,,,,"4,5,7,2,026.00",,4,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"In this incident, GLORY HORSIE made contact with FREE NOVEMBER, causing that horse to become unbalancedNear the 700 Metres, FREE NOVEMBER was awkwardly placed close to the heels of RUMINAREPassing the 150 Metres, A FAST ONE was shifted in away from the heels of FREE NOVEMBER to obtain clear running",,,,,11.0,0.0,"4,5,1,660.50",57.24,T123,LAL,,,"4,40.00","6,7,4",20160117,TURF ,CAN,"[1.75, 3.0, 2.25, None, None, None]",GY,,,YML,"[13.4, 20.9, 22.94, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,4,"[13.12, 20.7, 23.06]",973.0
55.7,,,3,,,,,,Class 4,,,,"4,5,7,2,026.00",,5,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Near the 550 Metres, GALLANT ROCK and TOP BONUS raced tightHe said he had to make considerable use of RUMINARE in the early stages to obtain a forward position, but was able to trail the leader of the race TOP BONUS after the 900 MetresTOP BONUS, FISH N�� CHIPS and FLYING MONKEY were sent for sampling",,,,,2.7,0.0,"4,5,1,660.50",57.25,T132,LAL,,,"4,40.00","1,2,5",20160117,TURF ,MOJ,"[0.75, 0.1, 2.25, None, None, None]",GY,,,YML,"[13.12, 20.7, 23.43, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,5,"[13.12, 20.7, 23.06]",973.0
55.7,,,7,,,,,,Class 4,,,,"4,5,7,2,026.00",,6,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Passing the 150 Metres, A FAST ONE was shifted in away from the heels of FREE NOVEMBER to obtain clear running",,,,,14.0,0.0,"4,5,1,660.50",57.48,S424,LAL,,,"4,40.00","9,9,6",20160117,TURF ,LHW,"[3.0, 4.0, 3.75, None, None, None]",GY,,,YML,"[13.6, 20.86, 23.02, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,6,"[13.12, 20.7, 23.06]",969.0
55.7,,,15,,,,,,Class 4,,,,"4,5,7,2,026.00",,7,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,DOUBLE MASTER began only fairy,,,,,99.0,0.0,"4,5,1,660.50",57.71,P105,LAL,,,"4,40.00","7,8,7",20160117,TURF ,NGA,"[2.5, 3.5, 5.25, None, None, None]",GY,,,YML,"[13.52, 20.86, 23.33, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,7,"[13.12, 20.7, 23.06]",965.0
55.7,,,12,,,,,,Class 4,,,,"4,5,7,2,026.00",,8,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"At the 50 Metres, VIVACIOUS WINNER was shifted out away from the heels of SPRING WIN",,,,,79.0,0.0,"4,5,1,660.50",57.76,V157,LAL,,,"4,40.00","11,10,8",20160117,TURF ,TEK,"[4.0, 4.75, 5.5, None, None, None]",GY,,,YML,"[13.76, 20.82, 23.18, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,8,"[13.12, 20.7, 23.06]",964.0
55.7,,,10,,,,,,Class 4,,,,"4,5,7,2,026.00",,9,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"Approaching the 800 Metres, GLORY HORSIE was momentarily awkwardly placed outside GALLANT ROCK which shifted outIn this incident, GLORY HORSIE made contact with FREE NOVEMBER, causing that horse to become unbalancedOver the concluding stages, MAJOR CONNECTION was awkwardly placed close to the heels of GLORY HORSIE",,,,,31.0,0.0,"4,5,1,660.50",57.81,M273,LAL,,,"4,40.00","5,4,9",20160117,TURF ,LDE,"[1.75, 2.0, 5.75, None, None, None]",GY,,,YML,"[13.4, 20.74, 23.67, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,9,"[13.12, 20.7, 23.06]",964.0
55.7,,,15,,,,,,Class 4,,,,"4,5,7,2,026.00",,10,ST,,1-2-3-4,,0.23,,"4,158.50","4,5,7,18,587.00",,,0.01697736,,8,,"At the 50 Metres, VIVACIOUS WINNER was shifted out away from the heels of SPRING WIN",,,,,99.0,0.0,"4,5,1,660.50",58.04,V061,LAL,,,"4,40.00","13,13,10",20160117,TURF ,CYT,"[7.75, 13.0, 7.25, None, None, None]",GY,,,YML,"[14.36, 21.54, 22.14, None, None, None]",2,,"4,5,7,3,131,354.00",,,,,,"4,5,427.50",,"Counter({u'LAL': 1, u'SWY': 1, u'MA': 1, u'GR': 1, u'CCW': 1, u'MKL': 1, u'HAD': 1, u'CD': 1, u'SJJ': 1, u'NTK': 1, u'FC': 1, u'FD': 1, u'YCH': 1, u'YPF': 1, u'TYS': 1})","3,4,5,7,3,755.00",[158.5],,,1000,56.65,,10,"[13.12, 20.7, 23.06]",960.0
