racedate,racecoursecode,racedistance,raceclass,finish,sec1,sec2,sec3,sec4,sec5,sec6,record,weight
"20150906","ST","1000","Group",55.90,13.15,20.60,22.15,None,None,None,55.30,126
"20150906","ST","1000","Class 1",56.0,13.15,20.45,22.40,None,None,None,54.70,116 
"20150906","ST","1000","Class 2",56.15,13,15,20.70,22.60,None,None,None,55.40,120 
"20150906","ST","1000","Class 3",56.45,13.15,20.70,22.60,None,None,None,55.20,131 
"20150906","ST","1000","Class 4",56.65,13.20,20.8,22.65,None,None,None,55.70,125 
"20150906","ST","1000","Class 5",56.95,13.25,20.85,22.85,None,None,None,56.29,123
"20150906","ST","1000","Griffin", 57.0,13.30,21.05,22.65,None,None,None,56.00,116
"20150906","ST","1200","Group",68.75,23.7,22.45,22.60,None,None,None,67.50,123 
"20150906","ST","1200","Class 1",68.90, 23.7,22.45,22.6,None,None,None,67.80,114
"20150906","ST","1200","Class 2",69.15,23.9,22.55,22.70,None,None,None,68.20,120 
"20150906","ST","1200","Class 3",69.40,23.9,22.7,22.8,None,None,None,68.46,116
"20150906","ST","1200","Class 4",69.60,23.9,22.8,22.9,None,None,None,68.83,115
"20150906","ST","1200","Class 5",69.9,23.9,22.7,23.3,None,None,None,69.80,129
"20150906","ST","1200","Griffin",70.15,24.25,23.15,22.75,None,None,None,68.80,125
"20150906","ST","1400","Group",81.10,13,4,21.9,23.05,22.75,None,None,80.40,113 
"20150906","ST","1400","Class 1",81.55,13.5,21.9,23.30,22.85,None,None,80.90,123
"20150906","ST","1400","Class 2",81.80,13.55,22.00,23.25,23.0,None,None,80.40,115 
"20150906","ST","1400","Class 3",82.20,13.55,21.95,23.55,23.15,None,None,80.90,120
"20150906","ST","1400","Class 4",82.50,13.55,22.0,23.65,23.30,None,None,81.40,125
"20150906","ST","1400","Class 5",82.80,13.65,22.0,23.65,23.50,None,None,81.60,124
"20150906","ST","1400","Griffin",83.05,13.60,22.65,23.90,22.90,None,None,82.30,120
"20150906","ST","1600","Group",93.55,24.65,22.85,23.25,22.80,None,None,92.71,126 
"20150906","ST","1600","Class 1",94.35,24.70,23.30,23.55,22.80,None,None,93.50,1265
"20150906","ST","1600","Class 2",94.75,24.70,23.35,23.85,22.85,None,None,93.70,122 
"20150906","ST","1600","Class 3",95.05,24.7,23.35,23.95,23.05,None,None,94.00,123
"20150906","ST","1600","Class 4",95.45,24.75,23.35,24.00,23.35,None,None,94.20,120
"20150906","ST","1600","Class 5",95.65,24.75,23.20,24.15,23.55,None,None,94.40,117
