racedate,racecoursecode,racedistance,raceclass,finish,sec1,sec2,sec3,sec4,sec5,sec6,record,weight
"20150906","ST","1200","Class 1",68.10,23.35,21.90,22.85,None,None,None,67.46,123
"20150906","ST","1200","Class 2",68.40,23.35,22.15,22.90,None,None,None,68.20,119 
"20150906","ST","1200","Class 3",68.65,23.40,22.15,23.10,None,None,None,67.40,133
"20150906","ST","1200","Class 4",69.25,23.40,22.35,23.50,None,None,None,68.20,116
"20150906","ST","1200","Class 5",69.40,23.50,22.30,23.60,None,None,None,68.46,130
"20150906","ST","1650","Class 2",98.10,28.00,23.15,23.65,22.40,None,None,97.36,117 
"20150906","ST","1650","Class 3",99.05,28.05,23.40,23.95,23.65,None,None,97.90,131
"20150906","ST","1650","Class 4",99.20,28.05,23.45,24.05,23.65,None,None,98.07,126
"20150906","ST","1650","Class 5",99.65,28.05,23.50,24.05,24.05,None,None,98.60,131
"20150906","ST","1800","Class 3",108.35,13.70,23.00,24.10,24.25,23.30,107.53,126
"20150906","ST","1800","Class 4",108.90,13.75,23.15,23.85,24.15,24.00,107.82,114
"20150906","ST","1800","Class 5",109.30,13.75,23.00,24.15,24.30,24.10,107.67,125
